EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 16-11-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at https://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 countrycodes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 76 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
  484,GORLITZ                                     ,DE  ,+51:09:47,+014:57:11,  238
  485,NURBURG-BARWEILER                           ,DE  ,+50:21:39,+006:52:13,  485
  486,MEININGEN                                   ,DE  ,+50:33:45,+010:22:37,  450
  487,ERFURT-BINDERSLEBEN                         ,DE  ,+50:59:04,+010:57:47,  316
  488,FICHTELBERG                                 ,DE  ,+50:25:45,+012:57:19, 1213
  489,WURZBURG                                    ,DE  ,+49:46:17,+009:57:32,  268
  490,HOF                                         ,DE  ,+50:18:47,+011:52:39,  565
  491,SAARBRUCKEN/ENSHEIM                         ,DE  ,+49:12:51,+007:06:29,  320
  492,NURNBERG                                    ,DE  ,+49:30:15,+011:03:24,  314
  493,STRAUBING                                   ,DE  ,+48:49:42,+012:33:37,  351
  494,AUGSBURG                                    ,DE  ,+48:25:35,+010:56:35,  461
  495,KONSTANZ                                    ,DE  ,+47:40:41,+009:11:27,  443
  496,KEMPTEN                                     ,DE  ,+47:43:27,+010:20:11,  705
  497,ARGOSTOLI                                   ,GR  ,+38:07:00,+020:28:59,   22
  498,ATHALASSA                                   ,CY  ,+35:09:00,+033:24:00,  162
  499,AGROS                                       ,CY  ,+35:04:59,+033:01:00, 1015
  500,NIEUW BEERTA                                ,NL  ,+53:11:39,+007:08:57,    0
  567,WILHELMINADORP                              ,NL  ,+51:31:32,+003:53:00,    1
  593,SCHIPHOL                                    ,NL  ,+52:18:56,+004:47:25,   -3
  594,HOORN TERSCHELLING                          ,NL  ,+53:23:27,+005:20:44,    0
  595,SOESTERBERG                                 ,NL  ,+52:07:32,+005:16:24,   13
  596,STAVOREN                                    ,NL  ,+52:53:48,+005:22:59,   -1
  597,LELYSTAD                                    ,NL  ,+52:27:25,+005:31:10,   -3
  598,ROTTERDAM                                   ,NL  ,+51:57:38,+004:26:48,   -4
  599,GILZE-RIJEN                                 ,NL  ,+51:33:54,+004:56:07,   11
  600,ELL                                         ,NL  ,+51:11:48,+005:45:45,   30
  601,VLIELAND                                    ,NL  ,+53:14:24,+004:55:14,    4
  602,HOEK VAN HOLLAND                            ,NL  ,+51:59:27,+004:07:18,   11
  603,LEEUWARDEN                                  ,NL  ,+53:13:23,+005:45:06,    0
  604,WOENSDRECHT                                 ,NL  ,+51:26:52,+004:20:30,   14
  653,BREST                                       ,BY  ,+52:07:00,+023:40:59,  146
  696,SWINOUJSCIE                                 ,PL  ,+53:55:23,+014:14:31,    5
  701,SALO KARKKA                                 ,FI  ,+60:22:24,+023:06:57,    3
  702,LOHJA PORLA                                 ,FI  ,+60:14:38,+024:03:09,   37
  703,PORVOO JERNBOLE                             ,FI  ,+60:24:20,+025:39:32,   17
  704,PORI PORIN LENTOASEMA                       ,FI  ,+61:27:56,+021:47:48,   13
  705,MIETOINEN SAARI                             ,FI  ,+60:37:46,+021:51:29,   13
  706,TURKU TURUN LENTOASEMA                      ,FI  ,+60:30:55,+022:16:39,   49
  707,KOKEMAKI PEIPOHJA HYRKOLA                   ,FI  ,+61:16:14,+022:15:07,   37
  708,JOKIOINEN JOKIOISTEN OBSERVATORIO           ,FI  ,+60:48:50,+023:30:02,  104
  709,HATTULA LEPAA-1                             ,FI  ,+61:07:37,+024:20:09,   87
  713,KANKAANPAA NIINISALO PUOLUSTUSVOIMAT        ,FI  ,+61:50:17,+022:28:01,  124
  714,KURU LANSI-AURE                             ,FI  ,+61:56:56,+023:22:36,  170
  715,VARKAUS KAPYKANGAS                          ,FI  ,+62:18:29,+027:50:39,   91
  716,TOHMAJARVI KEMIE                            ,FI  ,+62:14:06,+030:20:58,   90
  718,AHTARI MYLLYMAKI                            ,FI  ,+62:32:04,+024:13:14,  157
  719,ALAJARVI MOKSY-1                            ,FI  ,+63:03:02,+024:16:54,  202
  722,MAANINKA HALOLA                             ,FI  ,+63:08:35,+027:18:57,   90
  725,KAJAANI LENTOASEMA-1                        ,FI  ,+64:16:53,+027:40:42,  147
  726,VIEREMA KAARAKKALA                          ,FI  ,+63:50:26,+027:13:27,  207
  729,MUHOS KK LAITASAARI                         ,FI  ,+64:48:54,+025:58:59,   19
  730,VAALA PELSO                                 ,FI  ,+64:30:03,+026:25:39,  114
  731,TAIVALKOSKI KK                              ,FI  ,+65:34:59,+028:15:00,  209
  732,KUUSAMO LENTOASEMA-1                        ,FI  ,+65:59:42,+029:13:33,  264
  733,ROVANIEMI LENTOASEMA                        ,FI  ,+66:33:29,+025:50:07,  195
  734,MUONIO ALAMUONIO                            ,FI  ,+67:58:05,+023:40:49,  254
  735,INARI IVALO LENTOASEMA                      ,FI  ,+68:36:25,+027:25:05,  147
  736,ABBEVILLE                                   ,FR  ,+50:08:09,+001:50:02,   69
  737,LILLE-LESQUIN                               ,FR  ,+50:34:12,+003:05:51,   47
  738,CAEN-CARPIQUET                              ,FR  ,+49:10:48,-000:27:21,   67
  739,REIMS-PRUNAY                                ,FR  ,+49:12:34,+004:09:19,   95
  740,ALENCON                                     ,FR  ,+48:26:44,+000:06:37,  143
  742,NANTES-BOUGUENAIS                           ,FR  ,+47:09:00,-001:36:32,   26
  745,DIJON-LONGVIC                               ,FR  ,+47:16:04,+005:05:17,  219
  749,POITIERS - BIARD                            ,FR  ,+46:35:38,+000:18:51,  123
  750,CLERMONT-FERRAND                            ,FR  ,+45:47:12,+003:08:57,  331
  752,OLSZTYN                                     ,PL  ,+53:46:06,+020:25:17,  133
  754,CHANIA                                      ,GR  ,+35:30:00,+024:01:59,  151
  755,EMBRUN                                      ,FR  ,+44:33:56,+006:30:07,  871
  756,TARBES - OSSUN                              ,FR  ,+43:11:17,+000:00:00,  360
  757,NICE                                        ,FR  ,+43:38:56,+007:12:32,    2
  758,BASTIA                                      ,FR  ,+42:32:26,+009:29:07,   10
  779,SLUBICE                                     ,PL  ,+52:20:54,+014:37:10,   53
  784,METZ-FRESCATY                               ,FR  ,+49:04:23,+006:07:32,  190
  786,MONTELIMAR                                  ,FR  ,+44:34:51,+004:43:59,   73
  789,CHIOS                                       ,GR  ,+38:19:59,+026:07:59,    4
  793,PTE DE LA HAGUE                             ,FR  ,+49:43:31,-001:56:22,    6
  812,KAHLER ASTEN (WST)                          ,DE  ,+51:10:54,+008:29:24,  839
  833,THESSALONIKI                                ,GR  ,+40:37:12,+022:57:00,   32
  834,ALEXANDROUPOLI                              ,GR  ,+40:51:00,+025:55:48,    3
  835,KOZANI                                      ,GR  ,+40:16:48,+021:49:48,  626
  836,IOANNINA                                    ,GR  ,+39:42:00,+020:49:12,  484
  837,MITILINI                                    ,GR  ,+39:03:36,+026:36:00,    5
  838,AGRINIO                                     ,GR  ,+38:37:12,+021:22:48,   25
  839,SKYROS                                      ,GR  ,+38:54:00,+024:33:00,   18
  840,TRIPOLI                                     ,GR  ,+37:31:48,+022:24:00,  652
  841,KALAMATA                                    ,GR  ,+37:03:36,+022:00:00,   11
  842,NAXOS                                       ,GR  ,+37:06:00,+025:22:48,   10
  843,MILOS                                       ,GR  ,+36:44:24,+024:28:48,  183
  844,KYTHIRA                                     ,GR  ,+36:07:48,+023:01:12,  167
  845,RHODOS                                      ,GR  ,+36:24:00,+028:07:12,   11
  846,IERAPETRA                                   ,GR  ,+35:00:00,+025:43:48,    0
  849,PECS POGANY                                 ,HU  ,+46:00:20,+018:13:58,  202
  851,SZEGED                                      ,HU  ,+46:15:21,+020:05:25,   81
  852,DEBRECEN AIRPORT                            ,HU  ,+47:29:25,+021:36:38,  107
  854,BEDONIA                                     ,IT  ,+44:30:27,+009:37:36,  521
  855,BOBBIO                                      ,IT  ,+44:45:18,+009:23:03,  270
  856,BOSCO CENTRALE                              ,IT  ,+44:26:20,+010:02:00,  902
  859,LIGONCHIO CENTRALE                          ,IT  ,+44:19:00,+010:20:42,  900
  860,MONTEOMBRARO                                ,IT  ,+44:22:35,+011:00:30,  700
  861,MONZUNO                                     ,IT  ,+44:16:36,+011:16:24,  600
  862,PORRETTA TERME                              ,IT  ,+44:09:15,+010:58:37,  352
  922,TERESPOL                                    ,PL  ,+52:04:42,+023:37:18,  133
  923,LESZNO                                      ,PL  ,+51:50:08,+016:32:04,   91
  924,WIELUN                                      ,PL  ,+51:12:37,+018:33:24,  199
  926,SULEJOW                                     ,PL  ,+51:21:11,+019:51:59,  188
  927,WLODAWA                                     ,PL  ,+51:33:11,+023:31:45,  177
  928,RACIBORZ                                    ,PL  ,+50:03:39,+018:11:26,  206
  929,KRAKOW                                      ,PL  ,+50:04:40,+019:47:42,  237
  930,BIELSKO-BIALA                               ,PL  ,+49:48:25,+019:00:01,  396
  931,FLORINA                                     ,GR  ,+40:46:59,+021:24:00,  662
  932,NOWY SACZ                                   ,PL  ,+49:37:37,+020:41:18,  292
  933,LESKO                                       ,PL  ,+49:27:59,+022:20:30,  420
  939,LAMIA                                       ,GR  ,+38:54:00,+022:24:00,  144
  941,TANAGRA                                     ,GR  ,+38:19:00,+023:31:59,  140
  942,KARASJOK-MARKANNJARGA                       ,NO  ,+69:27:48,+025:30:07,  131
  948,OCNA SUGATAG                                ,RO  ,+47:46:59,+023:55:59,  504
  951,IASI                                        ,RO  ,+47:10:00,+027:37:59,  102
  953,NESBYEN-TODOKK                              ,NO  ,+60:34:01,+009:08:00,  166
  955,SUOLOVUOPMI-LULIT                           ,NO  ,+69:34:46,+023:32:03,  381
  958,BALLYHAISE (AGR.COLL.)                      ,IE  ,+54:03:03,-007:18:36,   67
  960,BACAU                                       ,RO  ,+46:31:59,+026:55:00,  184
  961,MIERCUREA CIUC                              ,RO  ,+46:22:00,+025:43:59,  661
  962,DEVA                                        ,RO  ,+45:52:00,+022:54:00,  230
  963,BET DAGAN                                   ,IL  ,+32:00:00,+034:47:58,   30
  964,BALLYSHANNON (CATHLEENS FALL)               ,IE  ,+54:30:00,-008:10:44,   38
  965,BELLACORRICK (MONEYNIERIN)                  ,IE  ,+54:07:00,-009:32:48,   88
  966,BOORA                                       ,IE  ,+53:13:41,-007:43:51,   58
  967,TULCEA                                      ,RO  ,+45:10:59,+028:49:00,    4
  968,CARRICKMACROSS (DUNOGE)                     ,IE  ,+53:58:41,-006:45:11,   88
  969,SULINA                                      ,RO  ,+45:10:00,+029:43:59,    3
  970,CASEMENT AERODROME                          ,IE  ,+53:18:21,-006:26:20,   94
  972,ROSIORI DE VEDE                             ,RO  ,+44:06:00,+024:58:59,  102
  978,KOLKA                                       ,LV  ,+57:44:48,+022:35:22,    5
  982,SKULTE                                      ,LV  ,+57:18:00,+024:24:00,    9
  985,GAUJIENA                                    ,LV  ,+57:30:00,+026:18:00,   84
  986,ALUKSNE                                     ,LV  ,+57:26:21,+027:02:07,  197
  988,PAVILOSTA                                   ,LV  ,+56:54:00,+021:12:00,    9
  990,SALDUS                                      ,LV  ,+56:40:31,+022:30:12,  112
  991,AUCE                                        ,LV  ,+56:30:00,+022:54:00,  104
  993,DOBELE                                      ,LV  ,+56:36:00,+023:18:00,   44
  997,ZILANI                                      ,LV  ,+56:30:00,+025:54:00,  109
 1001,DAUGAVPILS                                  ,LV  ,+55:56:03,+026:39:33,  125
 1007,SIAULIAI                                    ,LT  ,+55:55:59,+023:19:00,  106
 1009,BIRZAI                                      ,LT  ,+56:12:00,+024:46:00,   60
 1020,LAZDIJAI                                    ,LT  ,+54:13:59,+023:31:00,  133
 1040,ROROS                                       ,NO  ,+62:34:01,+011:23:00,  628
 1041,KONGSBERG IV                                ,NO  ,+59:39:47,+009:39:00,  168
 1042,LYNGOR FYR                                  ,NO  ,+58:38:00,+009:09:01,    4
 1043,TVEITSUND                                   ,NO  ,+59:01:37,+008:31:14,  252
 1044,LINDESNES FYR                               ,NO  ,+57:58:59,+007:02:53,   13
 1045,LISTA FYR                                   ,NO  ,+58:06:36,+006:34:05,   14
 1046,SOLA                                        ,NO  ,+58:53:03,+005:38:12,    7
 1047,SAUDA                                       ,NO  ,+59:38:54,+006:21:47,    5
 1048,GARDERMOEN                                  ,NO  ,+60:12:23,+011:04:49,  202
 1049,TAKLE                                       ,NO  ,+61:01:36,+005:23:06,   38
 1051,TAFJORD                                     ,NO  ,+62:14:00,+007:25:00,   15
 1052,VAERNES                                     ,NO  ,+63:30:00,+010:53:24,   12
 1053,RENA - HAUGEDALEN                           ,NO  ,+61:09:33,+011:26:33,  240
 1054,KJOBLI I SNAASA                             ,NO  ,+64:09:36,+012:28:12,  195
 1055,ORLAND                                      ,NO  ,+63:42:01,+009:36:05,   10
 1056,SKROVA FYR                                  ,NO  ,+68:09:01,+014:39:02,   11
 1057,BARDUFOSS                                   ,NO  ,+69:03:32,+018:32:25,   76
 1058,SIHCCAJAVRI                                 ,NO  ,+68:45:19,+023:32:18,  382
 1059,FRUHOLMEN FYR                               ,NO  ,+71:05:35,+023:59:42,   13
 1060,RUSTEFJELBMA                                ,NO  ,+70:24:01,+028:12:01,   10
 1067,BARENÑBURG                                 ,RU  ,+78:04:00,+014:15:00,   73
 1068,TERIBERKA                                   ,RU  ,+69:12:00,+035:07:00,   33
 1073,SVYATOJ NOS                                 ,RU  ,+68:09:00,+039:46:00,   12
 1074,KANIN NOS                                   ,RU  ,+68:39:00,+043:18:00,   48
 1077,KRASNOSCEL'E                                ,RU  ,+67:20:59,+037:03:00,  155
 1079,SOJNA                                       ,RU  ,+67:54:00,+044:06:00,   18
 1081,INDIGA                                      ,RU  ,+67:40:59,+048:40:59,    3
 1084,UMBA                                        ,RU  ,+66:40:59,+034:21:00,   39
 1088,UXTA KALEVALA                               ,RU  ,+65:13:00,+031:09:00,  118
 1089,GRIDINO                                     ,RU  ,+65:54:00,+034:46:00,    9
 1090,ZHIZHGIN                                    ,RU  ,+65:12:00,+036:49:00,   26
 1093,MEZEN'                                      ,RU  ,+65:52:00,+044:13:00,   14
 1104,REBOLY'                                     ,RU  ,+63:49:59,+030:49:00,  180
 1105,PADANY'                                     ,RU  ,+63:16:00,+033:25:00,  130
 1109,SURA                                        ,RU  ,+63:34:59,+045:37:59,   62
 1118,SHENKURSK                                   ,RU  ,+62:06:00,+042:54:00,   40
 1124,KARGOPOL'                                   ,RU  ,+61:31:00,+038:55:59,  124
 1125,NYANDOMA                                    ,RU  ,+61:40:00,+040:10:59,  232
 1127,VY'BORG                                     ,RU  ,+60:43:00,+028:43:59,   10
 1128,GOGLAND                                     ,RU  ,+60:04:59,+026:58:59,    6
 1136,VELIKIJ USTYUG                              ,RU  ,+60:46:00,+046:18:00,   94
 1139,BELOGORKA                                   ,RU  ,+59:21:00,+030:07:59,   88
 1143,TIXVIN                                      ,RU  ,+59:39:00,+033:32:59,   60
 1145,GDOV                                        ,RU  ,+58:43:59,+027:49:59,   39
 1148,VEREB'E                                     ,RU  ,+58:40:59,+032:42:00,  116
 1152,STARAYA RUSSA                               ,RU  ,+58:01:00,+031:19:00,   24
 1157,BOLOGOE                                     ,RU  ,+57:54:00,+034:02:59,  186
 1158,PUSHKINSKIE GORY'                           ,RU  ,+57:01:00,+028:54:00,  108
 1172,KRASNAYA GORA                               ,RU  ,+53:01:00,+031:36:00,  147
 1173,TRUBCHEVSK                                  ,RU  ,+52:34:59,+033:46:00,  177
 1174,BABAEVO                                     ,RU  ,+59:24:00,+035:55:59,  136
 1176,TOT'MA                                      ,RU  ,+59:52:59,+042:45:00,  134
 1177,NIKOL'SK                                    ,RU  ,+59:31:59,+045:28:00,  142
 1178,OPARINO                                     ,RU  ,+59:51:00,+048:16:59,  179
 1182,KOLOGRIV                                    ,RU  ,+58:49:00,+044:19:00,  150
 1184,RY'BINSK GMO                                ,RU  ,+58:06:00,+038:42:00,  104
 1189,VETLUGA                                     ,RU  ,+57:51:00,+045:46:00,  133
 1211,JOSHKAR-OLA                                 ,RU  ,+56:43:00,+047:52:59,  106
 1215,MOZHAJSK                                    ,RU  ,+55:31:00,+036:00:00,  184
 1227,KOLOMNA                                     ,RU  ,+55:07:59,+038:43:59,  112
 1231,LUKOYANOV                                   ,RU  ,+55:01:59,+044:30:00,  217
 1232,POREÑKOE                                   ,RU  ,+55:10:59,+046:19:59,  136
 1236,SUXINICHI                                   ,RU  ,+54:06:00,+035:21:00,  237
 1239,RYAZAN'                                     ,RU  ,+54:37:59,+039:42:00,  155
 1254,ZEMETCHINO                                  ,RU  ,+53:28:59,+042:37:59,  131
 1264,PENZA                                       ,RU  ,+53:07:00,+045:01:00,  174
 1266,BEZENCHUK                                   ,RU  ,+52:58:59,+049:25:59,   45
 1268,PONY'RI                                     ,RU  ,+52:19:00,+036:18:59,  247
 1280,BOGORODIÑKOE-FENINO                        ,RU  ,+51:10:00,+037:21:00,  223
 1282,VORONEZH                                    ,RU  ,+51:42:00,+039:13:00,  147
 1284,BALASHOV                                    ,RU  ,+51:33:00,+043:09:00,  157
 1287,GOTNYA                                      ,RU  ,+50:48:00,+035:46:00,  225
 1292,URYUPINSK                                   ,RU  ,+50:48:00,+042:00:00,  106
 1293,KALACH                                      ,RU  ,+50:25:00,+041:03:00,   90
 1300,VALUJKI                                     ,RU  ,+50:13:00,+038:06:00,  111
 1303,FROLOVO                                     ,RU  ,+49:48:00,+043:40:00,  118
 1307,CHERTKOVO                                   ,RU  ,+49:22:59,+040:10:00,  145
 1312,E'L'TON                                     ,RU  ,+49:07:59,+046:51:00,    5
 1317,VOLSHSKIY GMO                               ,RU  ,+48:40:12,+044:27:00,   28
 1319,VERXNIJ BASKUNCHAK                          ,RU  ,+48:13:00,+046:43:59,   34
 1323,Ð¡IMLYANSK (VOLGODONSK)                     ,RU  ,+47:37:59,+042:07:00,   64
 1327,TAGANROG                                    ,RU  ,+47:12:00,+038:54:00,   30
 1332,Ð¡ELINA                                     ,RU  ,+46:33:00,+041:03:00,  112
 1335,REMONTNOE                                   ,RU  ,+46:34:00,+043:40:00,  105
 1337,PRIMORSKO-AXTARSK                           ,RU  ,+46:01:59,+038:09:00,    3
 1342,E'LISTA                                     ,RU  ,+46:22:00,+044:19:59,  151
 1343,YASHKUL'                                    ,RU  ,+46:10:59,+045:21:00,   -7
 1350,STAVROPOL AMSG                              ,RU  ,+45:07:00,+042:06:00,  451
 1355,KASPIYSKIY                                  ,RU  ,+45:24:00,+047:24:00,  -24
 1357,ANAPA                                       ,RU  ,+44:52:59,+037:16:59,   30
 1363,TUAPSE                                      ,RU  ,+44:06:00,+039:04:00,   60
 1367,MINERAL'NY'E VODY'                          ,RU  ,+44:13:59,+043:04:00,  315
 1368,CLONAKILTY (AGRIC.COLL.)                    ,IE  ,+51:37:44,-008:50:56,   79
 1369,BUDENNOVSK                                  ,RU  ,+44:46:59,+044:07:59,  134
 1372,KISLOVODSK                                  ,RU  ,+43:54:00,+042:43:00,  943
 1378,VLADIKAVKAZ                                 ,RU  ,+43:01:59,+044:40:59,  702
 1379,GROZNY'J                                    ,RU  ,+43:21:00,+045:40:59,  162
 1380,GUDERMES                                    ,RU  ,+43:21:00,+046:07:00,   74
 1387,PYATIGORSK                                  ,RU  ,+44:03:00,+043:01:59,  538
 1388,IZANA                                       ,ES  ,+28:18:32,-016:29:57, 2371
 1389,MELILLA                                     ,ES  ,+35:16:40,-002:57:19,   47
 1392,SANTANDER CENTRO                            ,ES  ,+43:27:52,-003:49:08,   64
 1393,BILBAO AEROPUERTO                           ,ES  ,+43:17:53,-002:54:20,   42
 1394,SANTIAGO DE COMPOSTELA/LABACOLLA            ,ES  ,+42:53:16,-008:24:38,  370
 1395,VIGO PEINADOR                               ,ES  ,+42:14:21,-008:37:26,  261
 1396,PONFERRADA                                  ,ES  ,+42:33:50,-006:36:00,  534
 1397,LEON VIRGEN DEL CAMINO                      ,ES  ,+42:35:20,-005:38:57,  916
 1398,LOGRONO-AGONCILLO                           ,ES  ,+42:27:07,-002:19:51,  353
 1399,ZAMORA                                      ,ES  ,+41:31:00,-005:44:00,  656
 1401,REUS/AEROPUERTO                             ,ES  ,+41:08:58,+001:10:44,   71
 1404,MURCIA/SAN JAVIER                           ,ES  ,+37:47:20,-000:48:11,    4
 1405,JEREZ DE LA FRONTERA                        ,ES  ,+36:45:02,-006:03:20,   27
 1406,TARIFA                                      ,ES  ,+36:00:55,-005:35:51,   32
 1409,KARESUANDO                                  ,SE  ,+68:26:31,+022:27:01,  330
 1410,JONKOPING                                   ,SE  ,+57:46:00,+014:10:59,   98
 1411,PAJALA                                      ,SE  ,+67:12:35,+023:23:34,  168
 1412,LULEA FLYGPLATS                             ,SE  ,+65:32:35,+022:07:09,   17
 1413,HARSFJARDEN                                 ,SE  ,+59:04:12,+018:07:12,    4
 1414,SVENSKA HOGARNA                             ,SE  ,+59:26:39,+019:30:20,   12
 1415,SAVE                                        ,SE  ,+57:46:48,+011:52:48,   20
 1416,SATENAS                                     ,SE  ,+58:26:08,+012:42:27,   54
 1417,BARKAKRA                                    ,SE  ,+56:17:24,+012:51:00,   20
 1418,FALSTERBO                                   ,SE  ,+55:22:48,+012:49:12,    5
 1419,RONNEBY-BREDAKRA                            ,SE  ,+56:15:36,+015:16:12,   58
 1420,HOBURG                                      ,SE  ,+56:55:12,+018:09:59,   38
 1421,KARLSHAMN                                   ,SE  ,+56:10:48,+014:51:00,   50
 1422,BORAS                                       ,SE  ,+57:45:36,+012:57:00,  135
 1423,OLANDS NORRA UDDE                           ,SE  ,+57:22:12,+017:06:00,    4
 1424,LANDSORT                                    ,SE  ,+58:44:24,+017:52:12,   18
 1425,OREBRO 1                                    ,SE  ,+59:14:24,+015:17:24,   35
 1426,FORSE                                       ,SE  ,+63:08:24,+016:59:23,  120
 1427,JACKVIK                                     ,SE  ,+66:22:47,+017:00:00,  430
 1428,ARJEPLOG A                                  ,SE  ,+66:03:08,+017:50:35,  431
 1429,JOKKMOKK                                    ,SE  ,+66:37:47,+019:38:24,  254
 1430,VITTANGI                                    ,SE  ,+67:40:48,+021:37:48,  250
 1472,SHEPETIVKA                                  ,UA  ,+50:10:12,+027:03:00,  277
 1482,LUBNY                                       ,UA  ,+50:01:12,+033:00:00,  156
 1513,VINNYTSIA                                   ,UA  ,+49:13:59,+028:36:00,  298
 1519,UMAN                                        ,UA  ,+48:46:12,+030:13:48,  214
 1526,UZHHOROD                                    ,UA  ,+48:37:59,+022:16:00,  124
 1567,ASKANIIA NOVA                               ,UA  ,+46:30:00,+033:54:00,   28
 1577,SIMFEROPOL                                  ,UA  ,+44:42:00,+034:07:59,  181
 1585,KERCH                                       ,UA  ,+45:24:00,+036:25:00,   49
 1592,AI-PETRI                                    ,UA  ,+44:28:12,+034:04:12, 1180
 1594,KHARKIV                                     ,UA  ,+49:58:00,+036:07:59,  155
 1615,DEBALTSEVE                                  ,UA  ,+48:24:00,+038:24:00,  335
 1627,KIRKWALL                                    ,GB  ,+58:57:00,-002:54:00,   26
 1628,KINLOSS                                     ,GB  ,+57:39:00,-003:34:12,    5
 1629,CRAIBSTONE                                  ,GB  ,+57:10:48,-002:12:00,  102
 1630,MYLNEFIELD                                  ,GB  ,+56:27:00,-003:04:12,   31
 1631,RINGWAY                                     ,GB  ,+53:21:00,-002:16:48,   69
 1632,ASKHAM BRYAN                                ,GB  ,+53:55:12,-001:10:12,   32
 1633,SHAWBURY                                    ,GB  ,+52:48:00,-002:40:12,   72
 1634,GOUDHURST                                   ,GB  ,+51:04:48,+000:27:36,   85
 1635,DALE FORT                                   ,GB  ,+51:42:00,-005:09:00,   33
 1636,PAISLEY                                     ,GB  ,+55:50:43,-004:25:45,   32
 1637,CWMYSTWYTH                                  ,GB  ,+52:21:00,-003:49:12,  301
 1638,LONG ASHTON                                 ,GB  ,+51:25:48,-002:40:12,   51
 1639,CAMBRIDGE (B. GDNS)                         ,GB  ,+52:11:35,+000:07:54,   13
 1640,ALDERGROVE                                  ,GB  ,+54:39:00,-006:13:12,   81
 1646,DERRYGREENAGH                               ,IE  ,+53:23:30,-007:15:29,   90
 1649,COL DU GRAND ST-BERNARD                     ,CH  ,+45:52:00,+007:10:00, 2472
 1661,SION 1                                      ,CH  ,+46:13:00,+007:19:59,  542
 1662,SION 2                                      ,CH  ,+46:13:00,+007:19:59,  482
 1679,SHKODRA                                     ,AL  ,+42:06:00,+019:31:59,   43
 1681,SPLIT MARJAN                                ,HR  ,+43:31:00,+016:25:59,  122
 1682,LASTOVO                                     ,HR  ,+42:46:00,+016:53:58,  186
 1683,RIJEKA                                      ,HR  ,+45:19:59,+014:27:00,  120
 1684,GOSPIC                                      ,HR  ,+44:33:00,+015:22:00,  564
 1685,OSIJEK                                      ,HR  ,+45:31:59,+018:37:59,   88
 1686,HVAR                                        ,HR  ,+43:10:00,+016:27:00,   20
 1687,ZAVIZAN                                     ,HR  ,+44:49:00,+014:58:59, 1594
 1704,DUBLIN (GLASNEVIN)                          ,IE  ,+53:22:15,-006:16:18,   21
 1715,DUBLIN (MERRION SQUARE)                     ,IE  ,+53:20:20,-006:15:11,   13
 1718,DUBLIN AIRPORT                              ,IE  ,+53:25:41,-006:14:27,   71
 1724,DUNDALK (ANNASKEAGH W.W.)                   ,IE  ,+54:03:11,-006:21:00,   61
 1726,GLENAMOY                                    ,IE  ,+54:14:20,-009:43:00,   25
 1733,MARINA DI RAVENNA                           ,IT  ,+44:29:26,+012:17:02,    3
 1736,RIMINI                                      ,IT  ,+44:03:30,+012:34:46,    7
 1738,GLENGARRIFF (ILNACULLIN)                    ,IE  ,+51:44:06,-009:32:45,    7
 1739,GLENTIES HATCHERY                           ,IE  ,+54:47:24,-008:17:09,   44
 1750,JOHNSTOWN CASTLE                            ,IE  ,+52:17:30,-006:30:00,   49
 1752,KREDARICA                                   ,SI  ,+46:22:42,+013:50:56, 2513
 1754,KELLS (HEADFORT)                            ,IE  ,+53:44:09,-006:50:48,   67
 1755,LULLYMORE (BORD NA MONA)                    ,IE  ,+53:18:21,-006:55:59,   84
 1756,MARKREE CASTLE                              ,IE  ,+54:10:30,-008:27:21,   39
 1757,SLIEVE BLOOM MTNS.(NEALSTOWN)               ,IE  ,+52:59:35,-007:42:14,  219
 1758,TRALEE (CLASH)                              ,IE  ,+52:16:08,-009:41:20,   15
 1759,WARRENSTOWN                                 ,IE  ,+53:31:26,-006:36:39,   90
 1760,WATERFORD (TYCOR)                           ,IE  ,+52:15:11,-007:07:51,   49
 1800,AUCHINCRUIVE                                ,GB  ,+55:28:36,-004:33:57,   48
 1801,GLENLEE                                     ,GB  ,+55:05:56,-004:11:09,   55
 1802,THREAVE                                     ,GB  ,+54:55:30,-003:57:00,   73
 1803,RONALDSWAY                                  ,GB  ,+54:05:06,-004:37:59,   16
 1804,NEWTON RIGG                                 ,GB  ,+54:40:10,-002:47:11,  169
 1805,GRIZEDALE                                   ,GB  ,+54:20:17,-003:01:12,   91
 1806,PRESTON: MOOR PARK                          ,GB  ,+53:46:26,-002:42:11,   33
 1807,HAWARDEN BRIDGE                             ,GB  ,+53:13:00,-003:01:37,    5
 1808,LOGGERHEADS: COLOMENDY CENTRE               ,GB  ,+53:09:00,-003:11:45,  210
 1809,INVERNESS                                   ,GB  ,+57:29:12,-004:13:23,    4
